"Includes Amazon Marketplace, Fulfilment by Amazon (FBA) and Amazon Webstore transactions"
"All amounts in AUD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the “Type” and “Description” columns for each order ID."
"date/time","settlement ID","type","order ID","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","low value goods","selling fees","fulfilment by amazon fees","other transaction fees","other","total"
"4 Nov 2025 8:27:29 am GMT+9","12178183403","Order","249-0442693-0833427","CCF-CSH-RlngPin","Stainless Steel Rolling Pin for Baking – Heavy-Duty Dough Rolling pin for Pizza, Cookies & Pastry | Non-Stick, Easy to Clean, Kitchen Essential","1","amazon.com.au","Amazon","SOUTHSIDE","QLD","4570","15.97","0","0","0","0","0","-2.08","-8.40","0","0","5.49"
"4 Nov 2025 9:24:58 am GMT+9","12178183403","Order","249-0853800-6218249","CCF-CSH-RlngPin","Stainless Steel Rolling Pin for Baking – Heavy-Duty Dough Rolling pin for Pizza, Cookies & Pastry | Non-Stick, Easy to Clean, Kitchen Essential","1","amazon.com.au","Amazon","KINDRED","TAS","7310","15.97","0","0","0","0","0","-2.08","-8.40","0","0","5.49"
"4 Nov 2025 4:42:56 pm GMT+9","12178183403","Transfer","","","To account ending with: 088","","","","","","","0","0","0","0","0","0","0","0","0","-1,191.15","-1,191.15"
"4 Nov 2025 6:12:22 pm GMT+9","12178183403","Order","250-7121809-1448649","6T-GX3J-KT8G","Meat Tenderiser Hammer – Heavy Duty Meat Mallet for Tenderizing Steak, Chicken, Beef & More – Double-Sided Tool with Comfortable Handle for Home K","1","amazon.com.au","Amazon","INGLESIDE","NSW","2101","14.99","0","0","0","0","0","-1.95","-8.40","0","0","4.64"
"4 Nov 2025 10:14:51 pm GMT+9","12178183403","Order","503-8871237-7822228","MNM-CSH-CwdSwgChr-Crm","Baby Swing Chair for Indoor & Outdoor Fun – Soft Cotton Canvas Toddler Swing with Beech Wood Frame – Safe & Comfy Baby Toys – Ideal Sensory Swin","1","amazon.com.au","Amazon","BURNS BEACH","WA","6028","48.42","0","0","0","0","0","-6.29","-11.21","0","0","30.92"
"4 Nov 2025 11:54:00 pm GMT+9","12178183403","Order","249-6801238-4198224","CCF-CSH-RlngPin","Stainless Steel Rolling Pin for Baking – Heavy-Duty Dough Rolling pin for Pizza, Cookies & Pastry | Non-Stick, Easy to Clean, Kitchen Essential","1","amazon.com.au","Amazon","LANCEFIELD","VIC","3435","15.97","1.99","0","-1.99","0","0","-2.08","-8.40","0","0","5.49"
"5 Nov 2025 12:44:06 am GMT+9","12178183403","Order","250-6622306-9498250","N9-I4FJ-SD05","3-Tier Ceramic Cupcake Holder, Cake Stand Holder, Tiered DIY Cupcake Stand Tower for Dessert Table Displays, Birthday Theme Party Favors Decoration, F","1","amazon.com.au","Amazon","CREMORNE","NSW","2090","17.99","0","0","0","0","0","-2.34","-11.78","0","0","3.87"
"5 Nov 2025 5:01:35 am GMT+9","12178183403","Order","249-1765302-8225417","CCF-CSH-PzaPel","Large Pizza Peel with Folding Handle – Durable Stainless Steel Pizza Paddle for Easy Transfer, Perfect Pizza Turning Peel for Outdoor Pizza Ovens an","1","amazon.com.au","Amazon","ORMEAU","QLD","4208","22.41","0","0","0","0","0","-2.91","-10.65","0","0","8.85"
"5 Nov 2025 6:08:48 am GMT+9","12178183403","Order","249-8180284-3262253","NLK-CSH-Sklt-22","12"" Cast Iron Pan – Heavy-Duty cast Iron Skillet and Deep Frying Pans (2.5"" Deep) – Pre-Seasoned Nonstick Surface for Searing, Baking, Sautéing �","1","amazon.com.au","Amazon","SILVERDALE","NSW","2752","45.99","7.99","0","0","0","0","-5.98","-19.19","0","0","28.81"
"5 Nov 2025 6:59:50 am GMT+9","12178183403","Order","249-7836000-4508613","N9-I4FJ-SD05","3-Tier Ceramic Cupcake Holder, Cake Stand Holder, Tiered DIY Cupcake Stand Tower for Dessert Table Displays, Birthday Theme Party Favors Decoration, F","1","amazon.com.au","Amazon","KINGSTON","TAS","7050","17.99","0","0","0","0","0","-2.34","-11.78","0","0","3.87"
